순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,91,55,34,2,0.618,0.0,7승0무3패,1승,28-1-16,27-1-18
2,KT,88,51,35,2,0.593,2.5,7승1무2패,7승,26-1-19,25-1-16
3,LG,91,52,39,0,0.571,4.0,2승0무8패,7패,30-0-19,22-0-20
4,KIA,93,49,42,2,0.538,7.0,5승0무5패,2패,25-2-18,24-0-24
5,두산,92,47,42,3,0.528,8.0,7승1무2패,3승,25-1-17,22-2-25
6,한화,89,42,44,3,0.488,11.5,3승1무6패,2승,18-2-25,24-1-19
7,NC,88,42,45,1,0.483,12.0,6승0무4패,2승,22-0-23,20-1-22
8,롯데,91,40,49,2,0.449,15.0,4승0무6패,2패,16-0-27,24-2-22
9,SSG,93,34,56,3,0.378,21.5,4승0무6패,2승,15-2-26,19-1-30
10,키움,94,33,59,2,0.359,23.5,4승1무5패,1패,20-1-30,13-1-29
