순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,96,58,36,2,0.617,0.0,8승1무1패,5승,28-1-19,30-1-17
2,삼성,98,59,37,2,0.615,0.0,6승0무4패,1승,29-1-18,30-1-19
3,LG,99,55,43,1,0.561,5.0,3승1무6패,1패,32-0-20,23-1-23
4,두산,100,51,45,4,0.531,8.0,5승2무3패,2승,27-2-19,24-2-26
5,KIA,100,52,46,2,0.531,8.0,4승0무6패,1패,26-2-20,26-0-26
6,한화,97,46,48,3,0.489,12.0,6승0무4패,2패,22-2-27,24-1-21
7,NC,95,43,50,2,0.462,14.5,3승1무6패,1승,23-0-26,20-2-24
8,롯데,98,42,54,2,0.438,17.0,3승0무7패,3패,17-0-30,25-2-24
9,SSG,101,38,59,4,0.392,21.5,6승1무3패,1승,18-3-28,20-1-31
10,키움,102,37,63,2,0.37,24.0,5승0무5패,1패,21-1-31,16-1-32
