순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,99,60,37,2,0.619,0.0,8승0무2패,1패,29-1-19,31-1-18
2,삼성,102,59,41,2,0.59,2.5,3승0무7패,4패,29-1-19,30-1-22
3,LG,103,56,46,1,0.549,6.5,3승1무6패,1패,32-0-20,24-1-26
4,KIA,102,54,46,2,0.54,7.5,5승0무5패,2승,28-2-20,26-0-26
5,두산,103,53,46,4,0.535,8.0,6승1무3패,1패,29-2-20,24-2-26
6,한화,101,48,50,3,0.49,12.5,5승0무5패,1승,22-2-27,26-1-23
7,NC,97,44,51,2,0.463,15.0,3승1무6패,1승,24-0-27,20-2-24
8,롯데,102,44,56,2,0.44,17.5,4승0무6패,2패,19-0-30,25-2-26
9,SSG,105,41,60,4,0.406,21.0,5승1무4패,3승,21-3-28,20-1-32
10,키움,106,39,65,2,0.375,24.5,5승0무5패,1승,23-1-32,16-1-33
